"REGION_TYPE","YEAR","WEEK","TOTAL_SPECIMENS","A_2009_H1N1","A_H3","B","H3N2v","TOTAL_POSITIVES","PERCENT_POSITIVES"
"National",1997,40,1291,0,0,0,0,0,0
"National",1997,41,1513,0,0,0,0,0,0
"National",1997,42,1552,0,3,1,0,4,0.00257731958762887
"National",1997,43,1669,0,0,0,0,0,0
"National",1997,44,1897,0,9,0,0,9,0.00474433315761729
"National",1997,45,2106,0,0,0,0,0,0
"National",1997,46,2204,0,3,1,0,4,0.00181488203266788
"National",1997,47,2533,0,5,1,0,6,0.00236873272799053
"National",1997,48,2242,0,14,1,0,15,0.00669045495093666
"National",1997,49,2607,0,11,1,0,12,0.0046029919447641
"National",1997,50,3086,0,37,2,0,39,0.0126377187297472
"National",1997,51,3410,0,84,0,0,84,0.024633431085044
"National",1997,52,3349,0,111,0,0,111,0.0331442221558674
"National",1997,53,4402,0,161,1,0,162,0.0368014538845979
"National",2002,1,3531,0,108,2,0,110,0.0311526479750779
"National",2002,2,3900,0,144,6,0,150,0.0384615384615385
"National",2002,3,4696,0,268,5,0,273,0.0581345826235094
"National",2002,4,5816,0,387,12,0,399,0.0686038514442916
"National",2002,5,6466,0,450,24,0,474,0.0733065264460254
"National",2002,6,7191,0,613,19,0,632,0.0878876373244333
"National",2002,7,7572,0,615,28,0,643,0.0849181193872161
"National",2002,8,7358,0,538,68,0,606,0.0823593367762979
"National",2002,9,6217,0,384,86,0,470,0.0755991635837221
"National",2002,10,5368,0,264,136,0,400,0.0745156482861401
"National",2002,11,4337,0,156,166,0,322,0.0742448697256168
"National",2002,12,3763,0,103,210,0,313,0.0831783151740633
"National",2002,13,3332,0,44,284,0,328,0.0984393757503001
"National",2002,14,2660,0,20,235,0,255,0.0958646616541353
"National",2002,15,2329,0,17,192,0,209,0.0897380850150279
"National",2002,16,2001,0,18,226,0,244,0.121939030484758
"National",2002,17,1820,0,9,138,0,147,0.0807692307692308
"National",2002,18,1643,0,11,149,0,160,0.0973828362751065
"National",2002,19,1655,0,0,140,0,140,0.0845921450151057
"National",2002,20,1467,0,0,86,0,86,0.0586230402181322
"National",2002,21,1302,0,0,61,0,61,0.0468509984639017
"National",2002,22,995,0,0,34,0,34,0.0341708542713568
"National",2002,23,948,0,0,25,0,25,0.0263713080168776
"National",2002,24,850,0,0,7,0,7,0.00823529411764706
"National",2002,25,692,0,0,2,0,2,0.00289017341040462
"National",2002,26,700,0,0,4,0,4,0.00571428571428571
"National",2002,27,490,0,0,2,0,2,0.00408163265306122
"National",2002,28,591,0,0,1,0,1,0.00169204737732657
"National",2002,29,578,0,0,0,0,0,0
"National",2002,30,601,0,0,1,0,1,0.00166389351081531
"National",2002,31,530,0,0,0,0,0,0
"National",2002,32,566,0,0,0,0,0,0
"National",2002,33,516,0,0,0,0,0,0
"National",2002,34,533,0,0,0,0,0,0
