id,happiness,happy_num,labor,hours,marital,ballot
2810,Pretty happy,2,Working fulltime,40,Never married,Ballot c
2811,Not too happy,1,Working parttime,40,Never married,Ballot b
2814,Very happy,3,Working parttime,3,Married,Ballot b
2816,Pretty happy,2,Working fulltime,50,Married,Ballot b
2817,Pretty happy,2,Working fulltime,33,Divorced,Ballot b
2818,Pretty happy,2,Working fulltime,45,Divorced,Ballot a
2819,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2821,Not too happy,1,Working fulltime,40,Married,Ballot b
2828,Pretty happy,2,Working fulltime,40,Divorced,Ballot a
2830,Very happy,3,Working fulltime,40,Married,Ballot b
2831,Pretty happy,2,Working fulltime,30,Married,Ballot b
2832,Not too happy,1,Working fulltime,50,Never married,Ballot a
2833,Very happy,3,Working fulltime,50,Married,Ballot c
2836,Very happy,3,Working fulltime,35,Divorced,Ballot c
2837,Very happy,3,Working fulltime,40,Married,Ballot a
2838,Pretty happy,2,Working fulltime,40,Married,Ballot c
2839,Pretty happy,2,Working fulltime,37,Married,Ballot b
2840,Pretty happy,2,Working fulltime,3,Married,Ballot b
2842,Pretty happy,2,Working fulltime,35,Divorced,Ballot c
2843,Pretty happy,2,Working fulltime,42,Married,Ballot c
