id,happiness,happy_num,labor,hours,marital,ballot
2152,Pretty happy,2,Working fulltime,50,Never married,Ballot b
2154,Pretty happy,2,Working fulltime,70,Never married,Ballot a
2156,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2157,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2158,Not too happy,1,Working fulltime,40,Never married,Ballot c
2159,Very happy,3,Working fulltime,40,Widowed,Ballot b
2160,Pretty happy,2,Working fulltime,52,Divorced,Ballot c
2161,Very happy,3,Working fulltime,42,Never married,Ballot b
2162,Very happy,3,Working fulltime,45,Married,Ballot a
2164,Pretty happy,2,Working fulltime,25,Never married,Ballot c
2166,Not too happy,1,Working fulltime,40,Never married,Ballot b
2167,Not too happy,1,Working parttime,35,Married,Ballot c
2168,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2169,Pretty happy,2,Working fulltime,40,Married,Ballot c
2170,Very happy,3,Working parttime,28,Married,Ballot b
2171,Very happy,3,Working fulltime,40,Married,Ballot c
2174,Pretty happy,2,Working parttime,4,Divorced,Ballot a
2175,Not too happy,1,Working fulltime,45,Married,Ballot c
2176,Pretty happy,2,Working fulltime,40,Married,Ballot a
2177,Pretty happy,2,Working fulltime,30,Never married,Ballot b
2179,Pretty happy,2,Working fulltime,56,Never married,Ballot c
2180,Very happy,3,Working fulltime,45,Never married,Ballot c
2181,Pretty happy,2,Working fulltime,40,Married,Ballot a
2184,Pretty happy,2,Working fulltime,70,Divorced,Ballot a
2186,Pretty happy,2,Working fulltime,29,Never married,Ballot b
2187,Pretty happy,2,Working fulltime,56,Married,Ballot a
2188,Pretty happy,2,Working parttime,20,Married,Ballot b
2189,Pretty happy,2,Working fulltime,45,Married,Ballot c
2190,Pretty happy,2,Working fulltime,8,Married,Ballot b
2191,Pretty happy,2,Working fulltime,50,Married,Ballot c
2192,Very happy,3,Working fulltime,46,Never married,Ballot a
2193,Very happy,3,Working fulltime,45,Married,Ballot c
2194,Very happy,3,Working fulltime,40,Married,Ballot b
2196,Pretty happy,2,Working fulltime,50,Never married,Ballot c
2197,Not too happy,1,Working fulltime,42,Divorced,Ballot a
2199,Not too happy,1,Working fulltime,40,Married,Ballot b
2200,Pretty happy,2,Working fulltime,40,Married,Ballot a
2202,Very happy,3,Working parttime,15,Married,Ballot b
2205,Pretty happy,2,Working fulltime,40,Married,Ballot b
2207,Very happy,3,Working fulltime,40,Never married,Ballot b
2212,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2214,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2218,Pretty happy,2,Working fulltime,37,Separated,Ballot a
2221,Pretty happy,2,Working parttime,28,Divorced,Ballot c
2222,Pretty happy,2,Working fulltime,50,Married,Ballot a
2224,Pretty happy,2,Working parttime,15,Never married,Ballot b
2229,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2231,Pretty happy,2,Working fulltime,45,Married,Ballot b
2232,Pretty happy,2,Working fulltime,43,Never married,Ballot b
2234,Pretty happy,2,Working fulltime,40,Married,Ballot a
2237,Pretty happy,2,Working parttime,34,Never married,Ballot b
2238,Not too happy,1,Working parttime,26,Never married,Ballot c
2239,Not too happy,1,Working fulltime,60,Never married,Ballot b
2240,Very happy,3,Working fulltime,40,Married,Ballot c
2241,Pretty happy,2,Working fulltime,47,Married,Ballot b
2243,Very happy,3,Working fulltime,50,Married,Ballot c
2245,Pretty happy,2,Working parttime,30,Never married,Ballot a
2246,Pretty happy,2,Working parttime,30,Never married,Ballot b
2247,Very happy,3,Working fulltime,32,Divorced,Ballot c
2248,Pretty happy,2,Working parttime,20,Married,Ballot b
2251,Pretty happy,2,Working fulltime,48,Never married,Ballot b
